"Callsign","Sysop","Band","TX","Type","Where","Region","IF(secrecy='9',left(locator,4),locator)","lat","lon",
MB7UAH,GM7GDE,70CM,439.912500,AP,EAST KIBRIDE,SCOT,IO75VS,55.75,-4.23,
MB7UAI,2E0UCB,2M,144.800000,AP,IPSWICH,EA,JO02NB,52.073,1.135,
MB7UAK,GM5TAY,2M,144.800000,AP,DUNDEE,SCOT,IO86NL,56.478,-2.899,
MB7UAM,M3ZNE,2M,144.800000,AP,NEWCASTLE UPON TYNE,NOR,IO94,55,-1.6,
MB7UAP,M0MDS,70CM,439.912500,AP,ALEXANDRA PALACE,SE,IO91,51.6,-0.1,
MB7UAW,G1AW,2M,144.800000,AP,SHEFFIELD,NOR,IO93HI,53.34,-1.336,
MB7UAZ,MM0EFI,2M,144.800000,AP,TARLAND,SCOT,IO87MD,57.126,-2.933,
MB7UBA,2E0HKD,70CM,439.912500,AP,BASINGSTOKE,SW,IO91KG,51.28,-1.126,
MB7UBB,MW0LPU,70CM,439.912500,AP,BRECON,WM,IO81,52,-3.5,
MB7UBC,M0WWD,70CM,439.912500,AP,PORLOCK,SW,IO81EF,51.221,-3.635,
MB7UBE,G0SOX,2M,144.800000,AP,BRIGHTLINGSEA,EA,JO01,51.8,1,
MB7UBG,M9BTX,2M,144.800000,AP,BIGGLESWADE,SE,IO92UB,52.078,-0.256,
MB7UBI,GM0UDL,70CM,439.912500,AP,MUIR OF ORD,SCOT,IO77RM,57.513,-4.538,
MB7UBK,M7IAU,2M,144.800000,AP,BASINGSTOKE,SW,IO91LG,51.276,-1.081,
MB7UBL,GW4BML,70CM,439.912500,AP,BALA,WM,IO82DW,52.917,-3.746,
MB7UBR,GM8SAU,70CM,439.912500,AP,LOCHMADDY,SCOT,IO67JQ,57.711,-7.181,
MB7UBS,G7FBD,2M,144.800000,AP,BRISTOL,SW,IO81TK,51.431,-2.409,
MB7UBT,M8TKK,2M,144.800000,AP,WISBECH,EA,JO02BP,52.66,0.143,
MB7UBZ,G7KDM,2M,144.800000,AP,CARTERTON,SW,IO91ES,51.762,-1.593,
MB7UCB,M5SJM,2M,144.800000,AP,LINCOLN,CEN,IO93,53.2,-0.4,
MB7UCD,G3PHB,2M,144.800000,AP,EASTLEIGH,SW,IO91HA,51.001,-1.385,
MB7UCE,G0MBA,2M,144.800000,AP,COLCHESTER,EA,JO01KW,51.909,0.899,
MB7UCG,M0WNU,2M,144.800000,AP,RICHMOND,NOR,IO94,54.4,-1.7,
MB7UCH,M9XTA,2M,144.800000,AP,CHELMSFORD,EA,JO01FR,51.735,0.47,
MB7UCL,G0MBA,2M,144.800000,AP,CLACTON ON SEA,EA,JO01NT,51.804,1.148,
MB7UCM,MM1PTT,2M,144.800000,AP,GLASGOW,SCOT,IO75VV,55.911,-4.197,
MB7UCM,MM1PTT,70CM,439.912500,AP,GLASGOW,SCOT,IO75VV,55.911,-4.196,
MB7UCO,M5WOB,2M,144.800000,AP,CORBY,CEN,IO92PL,52.487,52.487,
MB7UCR,M1TCP,2M,144.800000,AP,CIRENCESTER,SW,IO91AR,51.717,-1.948,
MB7UCU,M5LEE,2M,144.800000,AP,MARYPORT,NOR,IO84GQ,54.687,-3.466,
MB7UCV,M5LEE,2M,144.800000,AP,WHITEHAVEN,NOR,IO84,54.5,-3.6,
